Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/133,2025-12-25,1,2,4,30,41,43,13,,3,3,3,3,3,0,1,0,2,0,0.00,0.5,1432375.00,127.5,59910.00,260,9600.00,5520.2,640.00,8066.5,320.00,112753,40.00,74326662
25/132,2025-12-21,9,17,27,34,39,47,46,34,2,4,5,1,1,1,1,2,1,0,0.00,1.5,1375470.00,99.5,55290.00,231,9600.00,5259.3,640.00,5651,320.00,90074.1,40.00,55452647
25/131,2025-12-18,6,23,28,31,33,34,11,"23,28",2,4,3,3,1,0,2,3,0,0,0.00,2,751730.00,73.5,54540.00,205.5,9600.00,3819.5,640.00,6777.8,320.00,71253.5,40.00,42180262
25/130,2025-12-16,3,12,23,28,35,38,24,28,3,3,3,3,1,1,2,2,0,1,8831150.00,1,1610380.00,74.5,57640.00,217,9600.00,5389.9,640.00,7028.6,320.00,92358.3,40.00,46882264
25/129,2025-12-13,10,17,19,28,45,49,1,,3,3,4,2,1,2,1,0,2,0.5,4000000.00,1,1525580.00,44.5,91420.00,214,9600.00,3294.5,640.00,6199.3,320.00,64671.7,40.00,41753807
25/128,2025-12-11,1,5,6,25,30,42,43,6,3,3,3,3,3,0,2,0,1,1,82123790.00,7.5,929270.00,358.5,51840.00,613.5,9600.00,17550.8,640.00,17412.7,320.00,320308.6,40.00,185287642
25/127,2025-12-06,4,6,26,28,34,40,25,"6,34",2,4,0,6,2,0,2,2,0,0.5,61215075.00,5.5,1782400.00,408.5,63990.00,1009.5,9600.00,23023.2,640.00,31472.9,320.00,433373.5,40.00,262971650
25/126,2025-12-02,6,18,29,34,37,38,39,37,2,4,2,4,1,1,1,3,0,0,0.00,11.5,625440.00,328.9,58310.00,807.5,9600.00,16758.5,640.00,25689.5,320.00,319964.1,40.00,194767307
25/125,2025-11-25,1,2,17,35,37,48,8,35,3,3,4,2,2,1,0,2,1,0,0.00,3.5,1730720.00,204.5,78980.00,586,9600.00,11042,640.00,18920.2,320.00,218759.7,40.00,156858434
25/124,2025-11-20,19,26,33,35,36,39,5,"26,36",1,5,4,2,0,1,1,4,0,0,0.00,4.5,752740.00,126,71690.00,347,9600.00,8579.7,640.00,10762.5,320.00,148708,40.00,91244931
25/123,2025-11-18,2,4,10,26,28,36,23,"2,28",3,3,0,6,3,0,2,1,0,0,0.00,4,722740.00,231.2,33340.00,387.7,9600.00,7495.9,640.00,9667.8,320.00,135082.2,40.00,79703117
25/122,2025-11-16,2,11,13,28,38,47,7,"11,28",3,3,3,3,1,2,1,1,1,0,0.00,1.5,1749260.00,138,50700.00,390.5,9600.00,6688.5,640.00,11525.6,320.00,118927.2,40.00,73621562
25/121,2025-11-13,10,11,28,30,37,39,15,"28,37",2,4,3,3,1,1,2,2,0,0,0.00,0.5,1101730.00,97.5,60260.00,192.5,9600.00,5324.6,640.00,6444.6,320.00,98585.3,40.00,58624243
25/120,2025-11-11,18,20,28,37,38,40,41,,2,4,1,5,0,2,1,3,0,0,0.00,2.5,830450.00,102.4,54060.00,240.5,9600.00,5274,640.00,5236.6,320.00,90521.4,40.00,55697060
25/119,2025-11-08,7,9,16,17,33,46,49,"17,33",4,2,4,2,2,2,0,1,1,0,0.00,4.5,342410.00,65,63210.00,167.5,9600.00,4378.5,640.00,5192,320.00,78370.7,40.00,42651870
25/118,2025-11-06,10,17,22,33,40,41,31,,3,3,3,3,1,1,1,2,1,0,0.00,1.5,944920.00,49,77130.00,154,9600.00,3406.2,640.00,4216.1,320.00,59719.5,40.00,37899615
25/117,2025-11-04,19,20,26,28,39,44,4,,2,4,2,4,0,2,2,1,1,2,34096060.00,1.5,4042690.00,242,66820.00,613.5,9600.00,12609.6,640.00,18064.2,320.00,244152.6,40.00,159489015
25/116,2025-10-28,4,7,15,21,45,46,24,7,4,2,4,2,2,1,1,0,2,1,51565110.00,2.5,1477120.00,162,60780.00,390,9600.00,7327.7,640.00,11274.5,320.00,141585.8,40.00,96795900
25/115,2025-10-25,6,7,27,36,39,43,1,,2,4,4,2,2,0,1,2,1,0,0.00,2,1424430.00,117,64930.00,256.5,9600.00,6388.5,640.00,9268.9,320.00,123017.8,40.00,75643571
25/114,2025-10-23,4,19,24,25,26,46,39,,3,3,2,4,1,1,3,0,1,0,0.00,4,587510.00,117.5,53330.00,313.5,9600.00,6137.4,640.00,8013.7,320.00,109043.9,40.00,64829335
25/113,2025-10-21,1,8,9,11,18,32,13,18,5,1,3,3,3,2,0,1,0,0,0.00,2.5,623440.00,294,19200.00,556.5,9600.00,12202.2,640.00,12056.3,320.00,165491.3,40.00,60435713
25/112,2025-10-18,5,13,17,18,31,44,2,,4,2,4,2,1,3,0,1,1,0,0.00,0,0.00,87.5,52970.00,183,9600.00,4244.7,640.00,5288.1,320.00,78514.6,40.00,46775382
25/111,2025-10-16,2,11,32,40,43,48,12,32,2,4,2,4,1,1,0,2,2,0,0.00,1.5,1168990.00,46,101650.00,167.5,9600.00,2772.7,640.00,5066.2,320.00,58994.7,40.00,44664515
25/110,2025-10-14,3,15,17,24,32,44,20,,4,2,3,3,1,2,1,1,1,0,0.00,1,1571530.00,77.5,54070.00,140.2,9600.00,3470,640.00,4125.7,320.00,65038.9,40.00,41135710
